k,Average_Sensitivity,Average_Specificity,Average_Precision,Average_Recall,Average_F1
1,0.0913 (0.000781),0.9951 (0.000539),0.953 (0.005477),0.9201 (0.007778),0.9362 (0.01788)
2,0.0853 (0.001269),0.9986 (0.00049),0.9844 (0.003583),0.8537 (0.012378),0.9144 (0.061949)
3,0.0908 (0.000748),0.9966 (0.00049),0.9671 (0.003448),0.9151 (0.008142),0.9403 (0.026483)
4,0.0871 (0.000943),0.9985 (0.0005),0.9834 (0.003353),0.875 (0.009602),0.9258 (0.0517)
5,0.0903 (0.0009),0.9971 (0.000539),0.9715 (0.003722),0.9081 (0.009731),0.9387 (0.03211)
10,0.0874 (0.000663),0.9983 (0.000458),0.9837 (0.002795),0.8775 (0.008823),0.9276 (0.050871)
15,0.0881 (0.000943),0.9982 (0.0004),0.9813 (0.003848),0.8833 (0.009034),0.9296 (0.047173)
20,0.0853 (0.0009),0.9986 (0.00049),0.9844 (0.00372),0.8561 (0.008526),0.9158 (0.060306)
30,0.0837 (0.000781),0.9988 (0.0004),0.986 (0.003715),0.8375 (0.007736),0.9059 (0.068836)
40,0.0818 (0.000872),0.9988 (0.0004),0.9877 (0.003848),0.8188 (0.009516),0.8952 (0.07699)
50,0.0806 (0.000917),0.9988 (0.0004),0.9872 (0.004285),0.8025 (0.00977),0.8853 (0.083374)
